Bathroom A,Bathroom A,1,24.700000000000003,-9.549999999999997,LOW
Front Desk,Front Desk,4,9.950000000000003,-0.44999999999998863,10,-4.8999999999999915,13,-6.349999999999994,13,1.4000000000000057,MEDIUM
DOOR 1,Door 1,1,0.75,-7.25,HIGH
Door 2,Door 2,1,3.6500000000000057,-8.899999999999991,HIGH
Door 3,Door 3,1,1.1500000000000057,3.1000000000000085,HIGH
Bathroom B,Bathroom B,1,38.5,-10.149999999999991,LOW
Room 11,Room 11,1,25,3.4000000000000057,HIGH
Room 4,Room 4,1,5.200000000000003,6.650000000000006,HIGH
Room 5,Room 5,1,11.450000000000003,6.400000000000006,HIGH
Room 6,Room 6,1,39.099999999999994,2.8000000000000114,HIGH
Room 7,Room 7,1,42.05000000000001,1.6000000000000085,HIGH
Room 8,Room 8,1,4.400000000000006,-11.25,HIGH
Room 8,Room 8,1,10.800000000000011,-11.349999999999994,HIGH
Room 9,Room 9,1,40.5,-10.199999999999989,HIGH
Room 10,Room 10,1,47.55000000000001,-11.349999999999994,HIGH
